Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000287753956555182,0.00139151888572365,0.652112019855105,0,0,0,99.6408679483798,3.59469779122041,-0.000728268105783069,0.000295111625273095,3.58855931601203,0.00204313694270272,5.5187569012209,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/base_link.STL,,block_chassis-1,origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1,-1.16920362280837E-15,4.44089209850063E-16,0.00402255269640867,0,0,0,0.486400024066262,0.00103636406868231,2.10554093928725E-13,-1.17404346446025E-18,0.00103636406984887,-1.99633948645137E-18,0.0020568281117403,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/wheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/wheel1.STL,,sim_omni-3;sim_omni-4;sim_omni_mid-2,Origin_wheel1,Axis_wheel1,wheel1,continuous,-0.32988,0.12379,0.452,-1.5708,-0.0074665,1.2157,base_link,0,0,1,,,,,,,,,,,,
w1r1,-1.38777878078145E-15,6.10622663543836E-16,-0.000948589663706256,0,0,0,0.0627912259353777,2.62982846127634E-05,2.06464280893236E-21,1.6940658945086E-20,2.62982846127634E-05,-1.45583787809333E-20,9.10426201409658E-06,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r1.STL,,roller-13,Origin_w1r1,Axis_w1r1,w1r1,continuous,0.0626354568216921,-0.0862103103498296,-0.0161774439709881,1.5707963267949,0.0389492521049183,2.19911485751286,wheel1,0,0,1,,,,,,,,,,,,
w1r2,0,5.55111512312578E-17,-0.000948589663708199,0,0,0,0.0627912259353779,2.62982846127645E-05,-4.2351647362715E-22,3.94929111657318E-20,2.62982846127645E-05,5.50571415715295E-21,9.10426201409862E-06,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r2.STL,,roller-14,Origin_w1r2,Axis_w1r2,w1r2,continuous,-0.0626354568216928,-0.0862103103498292,-0.0161774439709882,1.5707963267949,1.20259236637688,0.942477796076937,wheel1,0,0,1,,,,,,,,,,,,
w1r3,4.3576E-15,-1.7764E-15,-0.00094859,0,0,0,0.062791,2.6298E-05,3.7058E-22,3.3881E-20,2.6298E-05,8.8938E-21,9.1043E-06,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r3.STL,,roller-15,Origin_w1r3,Axis_w1r3,w1r3,continuous,-0.101346298038374,0.0329294083729579,-0.016177443970988,1.5707963267949,-0.374203828106358,-0.314159265358977,wheel1,0,0,1,,,,,,,,,,,,
w1r4,-4.49640324973188E-15,5.16253706450698E-15,-0.000948589663719571,0,0,0,0.0627912259353778,2.62982846127641E-05,0,4.67853354459992E-21,2.62982846127641E-05,-1.03753264232526E-20,9.10426201409772E-06,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r4.STL,,roller-11,Origin_w1r4,Axis_w1r4,w1r4,continuous,0,0.106561803953742,-0.0161774439709877,1.5707963267949,-0.192935246363215,-1.57079632679487,wheel1,0,0,1,,,,,,,,,,,,
w1r5,5.60662627435704E-15,1.30728761149612E-14,-0.000948589663712085,0,0,0,0.062791225935378,2.62982846127649E-05,-1.27054942088145E-21,2.43521972335611E-21,2.62982846127649E-05,1.31290106824417E-20,9.10426201409949E-06,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r5.STL,,roller-12,Origin_w1r5,Axis_w1r5,w1r5,continuous,0.101346298038373,0.03292940837296,-0.0161774439709879,-1.57079632679489,-1.18267157911311,0.314159265358996,wheel1,0,0,1,,,,,,,,,,,,
w1r6,1.765254609154E-14,1.13797860024079E-14,-0.000948589663698984,0,0,0,0.0627912259353777,2.6298284612764E-05,5.29395592033938E-22,-2.81638454962055E-20,2.6298284612764E-05,-2.1916977510205E-20,9.10426201409752E-06,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r6.STL,,roller-16,Origin_w1r6,Axis_w1r6,w1r6,continuous,0.101346298038373,-0.0329294083729549,0.0242225560290121,-1.57079632679489,-0.520346489890168,-0.314159265358952,wheel1,0,0,1,,,,,,,,,,,,
w1r7,1.3323E-15,8.1046E-15,-0.00094859,0,0,0,0.062791,2.6298E-05,-1.6941E-21,-4.7844E-21,2.6298E-05,1.2021E-20,9.1043E-06,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r7.STL,,roller-20,Origin_w1r7,Axis_w1r7,w1r7,continuous,0,-0.106561803953744,0.0242225560290117,1.5707963267949,0.325955514863472,1.57079632679492,wheel1,0,0,1,,,,,,,,,,,,
w1r8,4.49640324973188E-15,-1.51545442861334E-14,-0.000948589663701649,0,0,0,0.0627912259353778,2.62982846127638E-05,-7.94093388050907E-22,-1.61200957774334E-20,2.62982846127638E-05,-4.46809879676643E-20,9.10426201409729E-06,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://block_form_assem_less_rollers4/meshes/w1r8.STL,,roller-19,Origin_w1r8,Axis_w1r8,w1r8,continuous,-0.101346298038376,-0.0329294083729612,0.0242225560290118,1.57079632679492,-1.44343206565874,0.314159265358985,wheel1,0,0,1,,,,,,,,,,,,
